# integral of 1/sqrt(x) on [0,1] = 2  (singularity at x=0)  exact=2
# method              ncalls   act_err      est_err      value
fixed                 8572      3.849992e-05  4.120126e-04  1.999962e+00
fixed_cc              16        7.989536e-06  1.187372e-03  1.999992e+00
random_N2             5474      6.356584e-03  5.923162e-04  1.993643e+00
random_cc_N2          538       4.226389e-04  6.254480e-04  1.999577e+00
random_N4             12012     1.873596e-03  6.406639e-04  1.998126e+00
random_cc_N4          884       5.927529e-03  6.766976e-04  2.005928e+00
random_N8             24984     3.558332e-03  7.615038e-04  1.996442e+00
random_cc_N8          2328      1.082746e-02  8.197767e-04  1.989173e+00
random_N16            52976     3.908992e-05  7.763753e-04  1.999961e+00
random_cc_N16         5424      7.614487e-05  6.820678e-04  1.999924e+00
random_N32            109088    9.270939e-05  7.591769e-04  1.999907e+00
random_cc_N32         11232     7.541550e-05  7.034194e-04  1.999925e+00
random_N64            217536    8.882756e-05  7.482818e-04  1.999911e+00
random_cc_N64         23232     3.550915e-05  7.068508e-04  2.000036e+00
random_N128           434304    4.600784e-06  7.524878e-04  1.999995e+00
random_cc_N128        45696     1.618347e-05  7.148392e-04  2.000016e+00
random_N256           873728    3.559562e-05  7.463699e-04  1.999964e+00
random_cc_N256        91392     2.480047e-05  7.256943e-04  2.000025e+00
