# integral of ln(x)/sqrt(x) on [0,1] = -4  (singularity at x=0)  exact=-4
# method              ncalls   act_err      est_err      value
fixed                 8604      8.294100e-05  7.540167e-04  -3.999917e+00
fixed_cc              96        1.261435e-04  1.112725e-03  -3.999874e+00
random_N2             21302     4.104145e-04  5.973276e-04  -4.000410e+00
random_cc_N2          2334      6.065886e-04  6.389817e-04  -3.999393e+00
random_N4             44540     2.626104e-03  6.028913e-04  -3.997374e+00
random_cc_N4          4756      1.219737e-02  6.793507e-04  -4.012197e+00
random_N8             97352     1.176282e-04  6.568901e-04  -3.999882e+00
random_cc_N8          10200     1.390261e-04  6.554337e-04  -3.999861e+00
random_N16            211344    1.711436e-04  6.622611e-04  -4.000171e+00
random_cc_N16         20912     8.604529e-04  7.213037e-04  -3.999140e+00
random_N32            427552    9.864331e-05  7.006499e-04  -3.999901e+00
random_cc_N32         44320     2.888438e-05  7.242117e-04  -3.999971e+00
random_N64            856384    5.671931e-05  7.015334e-04  -3.999943e+00
random_cc_N64         87616     1.953102e-05  7.557139e-04  -4.000020e+00
random_N128           1720960   4.829923e-05  7.148856e-04  -4.000048e+00
random_cc_N128        176000    4.003115e-06  7.537055e-04  -3.999996e+00
random_N256           3436800   2.250522e-05  7.096923e-04  -4.000023e+00
random_cc_N256        353536    1.448943e-05  7.403573e-04  -3.999986e+00
