# integral of sqrt(1-x^2) on [0,1] = pi/4  exact=0.785398
# method              ncalls   act_err      est_err      value
fixed                 16        4.143303e-04  1.073206e-03  7.858125e-01
fixed_cc              32        1.959867e-06  5.486443e-04  7.853962e-01
random_N2             246       4.256386e-04  4.587742e-04  7.858238e-01
random_cc_N2          586       4.034611e-03  5.126594e-04  7.894328e-01
random_N4             516       6.675880e-04  4.880793e-04  7.860658e-01
random_cc_N4          1148      8.481645e-05  6.745959e-04  7.853133e-01
random_N8             1192      8.209289e-06  6.516645e-04  7.853900e-01
random_cc_N8          2424      1.579823e-04  6.261738e-04  7.852402e-01
random_N16            2256      3.257251e-06  6.807121e-04  7.853949e-01
random_cc_N16         5360      7.750718e-05  6.294045e-04  7.854757e-01
random_N32            4704      1.180683e-04  6.732133e-04  7.855162e-01
random_cc_N32         10592     1.526316e-04  7.152373e-04  7.855508e-01
random_N64            9536      7.627773e-05  6.837068e-04  7.853219e-01
random_cc_N64         22848     1.402651e-06  6.304047e-04  7.853968e-01
random_N128           18816     6.005722e-05  6.944543e-04  7.854582e-01
random_cc_N128        44672     4.196957e-05  7.239935e-04  7.854401e-01
random_N256           39168     8.827701e-06  6.437769e-04  7.853893e-01
random_cc_N256        90368     8.119916e-05  6.477000e-04  7.853170e-01
