# integral of sqrt(x) on [0,1] = 2/3  exact=0.666667
# method              ncalls   act_err      est_err      value
fixed                 16        2.872424e-04  4.518545e-04  6.669539e-01
fixed_cc              28        1.553861e-05  7.048483e-04  6.666511e-01
random_N2             310       3.332712e-05  4.981302e-04  6.666333e-01
random_cc_N2          542       6.456236e-04  5.413988e-04  6.673123e-01
random_N4             644       1.160021e-04  6.333711e-04  6.667827e-01
random_cc_N4          1084      4.954108e-04  6.039629e-04  6.661713e-01
random_N8             1192      2.064679e-04  6.166861e-04  6.668731e-01
random_cc_N8          2264      3.729433e-04  6.352615e-04  6.662937e-01
random_N16            2416      3.367010e-04  6.549151e-04  6.670034e-01
random_cc_N16         4784      3.213520e-05  6.511724e-04  6.666345e-01
random_N32            5152      4.277634e-05  6.904899e-04  6.667094e-01
random_cc_N32         9632      1.005046e-04  6.780010e-04  6.665662e-01
random_N64            10304     2.340842e-05  6.752123e-04  6.666901e-01
random_cc_N64         19392     6.538218e-06  6.985516e-04  6.666601e-01
random_N128           21376     6.947502e-06  6.422529e-04  6.666736e-01
random_cc_N128        38528     3.194828e-05  6.893189e-04  6.666986e-01
random_N256           41728     3.345941e-06  6.704771e-04  6.666700e-01
random_cc_N256        76544     1.831171e-05  7.097540e-04  6.666484e-01
