# rmax  E0_numerical  E0_exact  abs_error
4 -0.4685209490338365 -0.5 0.03147905096616349
6 -0.4884134970454883 -0.5 0.01158650295451175
8 -0.4891875668573967 -0.5 0.01081243314260327
10 -0.4892283375572766 -0.5 0.01077166244272343
12 -0.4892294275900941 -0.5 0.01077057240990587
15 -0.4892294542296923 -0.5 0.01077054577030773
18 -0.4892294543445998 -0.5 0.0107705456554002
22 -0.4892294543450547 -0.5 0.01077054565494534
26 -0.4892294543450574 -0.5 0.01077054565494256
30 -0.4892294543450557 -0.5 0.01077054565494434
