# n=1 rmax=15 dr=0.1 Const=3.16227766
# r f_num f_exact
0.1 0.180547826 0.1809680849
0.2 0.3267870732 0.3274933894
0.3 0.4436073558 0.4444924094
0.4 0.5352788552 0.5362578187
0.5 0.6055258804 0.6065326751
0.6 0.6575920684 0.6585761516
0.7 0.6942980835 0.6952217354
0.8 0.7180927202 0.7189287314
0.9 0.7310981 0.7318278193
1 0.7351496535 0.7357613271
1.1 0.7318314237 0.7323188175
1.2 0.7225072753 0.7228685105
1.3 0.7083484373 0.7085850164
1.4 0.6903577971 0.6904737933
1.5 0.6693913071 0.6693927047
1.6 0.6461768601 0.6460710044
1.7 0.6213308969 0.6211260457
1.8 0.5953730136 0.5950779749
1.9 0.568738793 0.5683626416
2 0.5417910876 0.5413429317
2.1 0.5148299048 0.5143187076
2.2 0.4881010729 0.4875355168
2.3 0.4618038266 0.4611922136
2.4 0.4360974456 0.4354476227
2.5 0.4111070468 0.4104263569
2.6 0.3869286353 0.3862238901
2.7 0.3636335092 0.3629109747
2.8 0.3412720917 0.3405374822
2.9 0.3198772483 0.3191357368
3 0.2994671708 0.2987234028
3.1 0.2800478657 0.2793059829
3.2 0.2616153145 0.2608789723
3.3 0.2441573133 0.2434297137
3.4 0.2276550691 0.2269389898
3.5 0.212084564 0.2113823863
3.6 0.1974177176 0.1967314553
3.7 0.1836233741 0.1829547038
3.8 0.170668136 0.170018431
3.9 0.1585170811 0.1578874339
4 0.1471343457 0.146525598
4.1 0.1364836219 0.1358963899
4.2 0.1265285644 0.1259632638
4.3 0.1172331284 0.1166899952
4.4 0.1085618384 0.1080409501
4.5 0.100480002 0.09998130106
4.6 0.09295388858 0.09247719613
4.7 0.08595085533 0.08549588884
4.8 0.07943944361 0.07900583419
4.9 0.07338945101 0.07297675658
5 0.06777197826 0.06737969388
5.1 0.06255945467 0.0621870216
5.2 0.05772563708 0.05737246061
5.3 0.0532456171 0.05291107123
5.4 0.04909580162 0.04877923626
5.5 0.04525388819 0.0449546352
5.6 0.04169882767 0.04141621124
5.7 0.03841079185 0.03814413296
5.8 0.03537113503 0.03511975174
5.9 0.03256234155 0.03232555627
6 0.02996798104 0.02974512496
6.1 0.02757265995 0.0273630771
6.2 0.02536197722 0.02516502351
6.3 0.02332247108 0.02313751707
6.4 0.02144157028 0.02126800377
6.5 0.01970754626 0.01954477445
6.6 0.01810946926 0.01795691776
6.7 0.01663715935 0.0164942743
6.8 0.01528114491 0.01514739234
6.9 0.01403261583 0.01390748513
7 0.01288338977 0.01276638994
7.1 0.01182586682 0.01171652884
7.2 0.0108529965 0.01075087136
7.3 0.009958239719 0.00986289889
7.4 0.009135534725 0.009046570925
7.5 0.00837926802 0.008296293119
7.6 0.007684239159 0.007606887064
7.7 0.007045641318 0.006973561788
7.8 0.006459023685 0.006391886911
7.9 0.005920274208 0.005857767403
8 0.005425591388 0.005367419881
8.1 0.004971466121 0.004917350376
8.2 0.004554657753 0.004504333515
8.3 0.004172172553 0.004125393038
8.4 0.003821251478 0.003777783599
8.5 0.003499348964 0.003458973767
8.6 0.003204119719 0.003166630173
8.7 0.002933400676 0.002898602743
8.8 0.002685198735 0.002652910937
8.9 0.002457680013 0.002427730958
9 0.002249153637 0.002221383855
9.1 0.002058065509 0.002032324468
9.2 0.001882983102 0.001859131171
9.3 0.001722590082 0.001700496356
9.4 0.001575675589 0.0015552176
9.5 0.001441126135 0.001422189494
9.6 0.001317919389 0.001300396062
9.7 0.00120511272 0.001188903755
9.8 0.001101841896 0.00108685496
9.9 0.001007312762 0.0009934620058
10 0.0009207975562 0.0009080016124
10.1 0.0008416263855 0.0008298097728
10.2 0.0007691821641 0.0007582770208
10.3 0.0007029026158 0.000692844063
10.4 0.0006422705626 0.0006329977499
10.5 0.000586810905 0.0005782673578
10.6 0.0005360854531 0.0005282211615
10.7 0.0004896955236 0.0004824632745
10.8 0.0004472767883 0.0004406307378
10.9 0.0004084917447 0.0004023908382
11 0.000373031189 0.0003674386383
11.1 0.0003406130636 0.0003354947036
11.2 0.000310979574 0.0003063030097
11.3 0.0002838933902 0.0002796290175
11.4 0.0002591356574 0.0002552579026
11.5 0.0002365089059 0.000232992927
11.6 0.0002158297034 0.0002126539421
11.7 0.0001969313488 0.0001940760132
11.8 0.0001796610337 0.0001771081553
11.9 0.0001638779534 0.0001616121714
12 0.0001494540529 0.0001474615865
12.1 0.0001362709094 0.0001345406675
12.2 0.0001242236029 0.0001227435247
12.3 0.0001132112007 0.0001119732859
12.4 0.0001031436613 0.0001021413393
12.5 9.393860739e-05 9.316663888e-05
12.6 8.55205806e-05 8.497506626e-05
12.7 7.782036268e-05 7.749884669e-05
12.8 7.077252254e-05 7.067601269e-05
12.9 6.432142165e-05 6.444991256e-05
13 5.841191527e-05 5.876875986e-05
13.1 5.299559974e-05 5.358522042e-05
13.2 4.802720981e-05 4.885603396e-05
13.3 4.346489779e-05 4.454166737e-05
