# n=3 rmax=15 dr=0.3 Const=1.825741858
# r f_num f_exact
0.3 0.141858199 0.1072057625
0.6 0.1992805682 0.1507166251
0.9 0.1978727451 0.1501565249
1.2 0.1578376106 0.120770882
1.5 0.09488241979 0.07423778063
1.8 0.02099555126 0.01934585906
2.1 -0.05489036485 -0.03744094449
2.4 -0.1263341585 -0.09151450972
2.7 -0.1889076649 -0.1397347077
3 -0.2397916486 -0.1801099602
3.3 -0.2774360419 -0.2115353603
3.6 -0.3012756757 -0.2335791164
3.9 -0.3114937645 -0.2463094545
4.2 -0.3088263725 -0.2501552885
4.5 -0.2944019491 -0.2457949793
4.8 -0.269610781 -0.2340683746
5.1 -0.2359998644 -0.2159080618
5.4 -0.1951892972 -0.1922864055
5.7 -0.1488068121 -0.1641754839
6 -0.09843751891 -0.132517503
6.3 -0.04558633104 -0.09820366535
6.6 0.008349096897 -0.0620598007
6.9 0.06209679009 -0.02483735935
7.2 0.1145218309 0.01279139598
7.5 0.1646320544 0.05023495534
7.8 0.2115792201 0.0869816686
8.1 0.2546566405 0.1225970335
8.4 0.2932940929 0.1567196826
8.7 0.327050702 0.1890564848
9 0.3556063715 0.2193770924
9.3 0.3787522391 0.2475081948
9.6 0.3963805456 0.2733276815
9.9 0.408474233 0.2967588672
10.2 0.4150965258 0.317764897
10.5 0.4163806975 0.3363434128
10.8 0.4125201733 0.3525215405
11.1 0.4037590908 0.3663512325
11.4 0.3903834013 0.3779049897
11.7 0.3727125705 0.387271967
12 0.3510919152 0.3945544638
12.3 0.3258855953 0.399864787
12.6 0.2974702669 0.4033224741
12.9 0.2662293856 0.405051856
13.2 0.2325481443 0.405179938
13.5 0.1968090246 0.4038345774
13.8 0.1593879303 0.4011429322
14.1 0.1206508701 0.3972301583
14.4 0.08095115471 0.3922183309
14.7 0.04062707158 0.386225568
