# n=2 overlap=0.9772124051
# r f_num f_exact
0.3 0.1865895706 0.1608643695
0.6 0.2649574962 0.2280472287
0.9 0.2691377572 0.2313324381
1.2 0.224873664 0.1930760482
1.5 0.1513763632 0.1298297615
1.8 0.06274167502 0.05363784543
2.1 -0.03091224522 -0.02693047082
2.4 -0.122534839 -0.1059623819
2.7 -0.2074182187 -0.1795552513
3 -0.2826224204 -0.2453089476
3.3 -0.3465221897 -0.301929296
3.6 -0.3984517598 -0.3489203291
3.9 -0.4384284315 -0.3863472503
4.2 -0.4669392321 -0.414655487
4.5 -0.484777902 -0.4345340322
4.8 -0.4929218091 -0.4468135855
5.1 -0.4924403923 -0.4523918772
5.4 -0.4844283426 -0.4521800871
5.7 -0.469958042 -0.4470655072
6 -0.450046894 -0.4378865981
6.3 -0.4256360141 -0.4254173955
6.6 -0.3975775245 -0.4103588786
6.9 -0.3666282132 -0.3933354282
7.2 -0.3334478537 -0.3748949261
7.5 -0.2986008017 -0.3555113767
7.8 -0.2625598362 -0.3355891988
8.1 -0.2257114254 -0.3154685427
8.4 -0.1883618032 -0.2954311557
8.7 -0.1507434023 -0.2757064437
9 -0.1130212868 -0.2564774802
9.3 -0.07529935743 -0.2378867895
9.6 -0.03762613134 -0.2200417902
