# x my_erf tabulated_erf abs_diff
0 0 0 0
0.1 0.112463 0.112463 2.23309e-08
0.2 0.222702 0.222703 6.85662e-07
0.3 0.328622 0.328627 4.85258e-06
0.4 0.428374 0.428392 1.8461e-05
0.5 0.520451 0.5205 4.90442e-05
0.6 0.60385 0.603856 5.95414e-06
0.7 0.677791 0.677801 1.00396e-05
0.8 0.742087 0.742101 1.43249e-05
0.9 0.796891 0.796908 1.72876e-05
1 0.84273 0.842701 2.91655e-05
1.1 0.881078 0.880205 0.000872759
1.2 0.910917 0.910314 0.000603156
1.3 0.934793 0.934008 0.000785404
1.4 0.95281 0.952285 0.000524453
1.5 0.966441 0.966105 0.00033542
1.6 0.976553 0.976348 0.000204589
1.7 0.983909 0.98379 0.000118117
1.8 0.989154 0.989091 6.36826e-05
1.9 0.992083 0.99279 0.000707729
2 0.9949 0.995322 0.000421947
2.1 0.996779 0.997021 0.000241865
2.2 0.998005 0.998137 0.000132624
2.3 0.998788 0.998857 6.89936e-05
2.4 0.999278 0.999311 3.35608e-05
2.5 0.999578 0.999593 1.48345e-05
2.6 0.999758 0.999764 5.56022e-06
2.7 0.999864 0.999866 1.36053e-06
2.8 0.999925 0.999925 2.82609e-07
2.9 0.99996 0.999959 7.42601e-07
