# x  y_best  y_pp  y_pm  y_mp  y_mm
0.5  130.759  135.956  134.987  126.663  125.76
0.550167  129.644  134.846  133.788  125.628  124.643
0.600334  128.539  133.745  132.6  124.602  123.536
0.650502  127.444  132.652  131.423  123.585  122.439
0.700669  126.357  131.569  130.256  122.575  121.352
0.750836  125.28  130.494  129.099  121.574  120.275
0.801003  124.213  129.429  127.953  120.581  119.207
0.851171  123.154  128.371  126.817  119.597  118.148
0.901338  122.104  127.323  125.691  118.62  117.099
0.951505  121.064  126.283  124.575  117.651  116.06
1.00167  120.032  125.252  123.469  116.69  115.029
1.05184  119.009  124.229  122.373  115.737  114.008
1.10201  117.994  123.214  121.286  114.792  112.995
1.15217  116.989  122.208  120.209  113.854  111.992
1.20234  115.991  121.21  119.142  112.924  110.998
1.25251  115.003  120.22  118.084  112.002  110.012
1.30268  114.023  119.238  117.035  111.087  109.035
1.35284  113.051  118.264  115.996  110.18  108.067
1.40301  112.087  117.298  114.966  109.28  107.108
1.45318  111.132  116.34  113.945  108.388  106.157
1.50334  110.185  115.39  112.934  107.503  105.214
1.55351  109.246  114.448  111.931  106.625  104.28
1.60368  108.314  113.513  110.937  105.754  103.354
1.65385  107.391  112.586  109.952  104.89  102.436
1.70401  106.476  111.666  108.976  104.033  101.527
1.75418  105.568  110.754  108.008  103.184  100.625
1.80435  104.669  109.85  107.049  102.341  99.7318
1.85452  103.777  108.953  106.099  101.505  98.8463
1.90468  102.892  108.063  105.157  100.676  97.9686
1.95485  102.015  107.18  104.223  99.854  97.0987
2.00502  101.146  106.305  103.298  99.0384  96.2366
2.05518  100.283  105.437  102.38  98.2296  95.3821
2.10535  99.4288  104.576  101.471  97.4273  94.5352
2.15552  98.5813  103.722  100.57  96.6316  93.6958
2.20569  97.7411  102.874  99.6774  95.8424  92.8639
2.25585  96.908  102.034  98.7923  95.0596  92.0393
2.30602  96.082  101.201  97.9151  94.2833  91.2221
2.35619  95.2631  100.374  97.0457  93.5132  90.4121
2.40635  94.4512  99.5546  96.184  92.7495  89.6093
2.45652  93.6461  98.7415  95.33  91.992  88.8137
2.50669  92.848  97.9351  94.4836  91.2407  88.0251
2.55686  92.0566  97.1352  93.6446  90.4955  87.2435
2.60702  91.272  96.3419  92.8132  89.7564  86.4689
2.65719  90.4941  95.5551  91.9891  89.0234  85.7011
2.70736  89.7228  94.7746  91.1723  88.2963  84.9402
2.75753  88.958  94.0006  90.3628  87.5752  84.186
2.80769  88.1998  93.2329  89.5604  86.8599  83.4385
2.85786  87.4481  92.4714  88.7652  86.1505  82.6976
2.90803  86.7027  91.7162  87.977  85.4469  81.9633
2.95819  85.9638  90.9671  87.1959  84.7491  81.2356
3.00836  85.2311  90.2242  86.4217  84.0569  80.5143
