# x target response
-1.00000000 0.35322691 0.35044397
-0.98000000 0.35498287 0.35316172
-0.96000000 0.35233221 0.35148189
-0.94000000 0.34498043 0.34504032
-0.92000000 0.33268395 0.33353281
-0.90000000 0.31525747 0.31672567
-0.88000000 0.29258090 0.29446502
-0.86000000 0.26460553 0.26668447
-0.84000000 0.23135925 0.23341092
-0.82000000 0.19295082 0.19476831
-0.80000000 0.14957292 0.15097911
-0.78000000 0.10150393 0.10236362
-0.76000000 0.04910826 0.04933699
-0.74000000 -0.00716481 -0.00759576
-0.72000000 -0.06678375 -0.06784665
-0.70000000 -0.12913907 -0.13075326
-0.68000000 -0.19354914 -0.19558853
-0.66000000 -0.25926754 -0.26157156
-0.64000000 -0.32549189 -0.32787906
-0.62000000 -0.39137407 -0.39365713
-0.60000000 -0.45603168 -0.45803316
-0.58000000 -0.51856053 -0.52012752
-0.56000000 -0.57804814 -0.57906503
-0.54000000 -0.63358780 -0.63398606
-0.52000000 -0.68429321 -0.68405722
-0.50000000 -0.72931320 -0.72848179
-0.48000000 -0.76784645 -0.76650983
-0.46000000 -0.79915587 -0.79744820
-0.44000000 -0.82258235 -0.82067049
-0.42000000 -0.83755761 -0.83562698
-0.40000000 -0.84361596 -0.84185459
-0.38000000 -0.84040455 -0.83898677
-0.36000000 -0.82769214 -0.82676316
-0.34000000 -0.80537593 -0.80503875
-0.32000000 -0.77348641 -0.77379227
-0.30000000 -0.73219013 -0.73313324
-0.28000000 -0.68179018 -0.68330743
-0.26000000 -0.62272439 -0.62470010
-0.24000000 -0.55556123 -0.55783658
-0.22000000 -0.48099344 -0.48337991
-0.20000000 -0.39982949 -0.40212511
-0.18000000 -0.31298286 -0.31499001
-0.16000000 -0.22145954 -0.22300265
-0.14000000 -0.12634373 -0.12728537
-0.12000000 -0.02878206 -0.02903594
-0.10000000 0.07003335 0.07049363
-0.08000000 0.16888283 0.17002019
-0.06000000 0.26653756 0.26825342
-0.04000000 0.36177845 0.36392010
-0.02000000 0.45341472 0.45578772
0.00000000 0.54030231 0.54268670
0.02000000 0.62136137 0.62353054
0.04000000 0.69559287 0.69733327
0.06000000 0.76209371 0.76322393
0.08000000 0.82007033 0.82045770
0.10000000 0.86885047 0.86842370
0.12000000 0.90789275 0.90664963
0.14000000 0.93679420 0.93480338
0.16000000 0.95529530 0.95269211
0.18000000 0.96328269 0.96025914
0.20000000 0.96078944 0.95757917
0.22000000 0.94799282 0.94485227
0.24000000 0.92520978 0.92239707
0.26000000 0.89289021 0.89064335
0.28000000 0.85160794 0.85012443
0.30000000 0.80205007 0.80146930
0.32000000 0.74500439 0.74539456
0.34000000 0.68134550 0.68269606
0.36000000 0.61201974 0.61424008
0.38000000 0.53802920 0.54095384
0.40000000 0.46041525 0.46381511
0.42000000 0.38024174 0.38384079
0.44000000 0.29857824 0.30207431
0.46000000 0.21648369 0.21957174
0.48000000 0.13499060 0.13738694
0.50000000 0.05509019 0.05655558
0.52000000 -0.02228140 -0.02192138
0.54000000 -0.09625551 -0.09709445
0.56000000 -0.16604186 -0.16808217
0.58000000 -0.23093780 -0.23408685
0.60000000 -0.29033580 -0.29440892
0.62000000 -0.34372903 -0.34845952
0.64000000 -0.39071517 -0.39577048
0.66000000 -0.43099825 -0.43600169
0.68000000 -0.46438872 -0.46894517
0.70000000 -0.49080172 -0.49452585
0.72000000 -0.51025372 -0.51279900
0.74000000 -0.52285760 -0.52394427
0.76000000 -0.52881639 -0.52825675
0.78000000 -0.52841575 -0.52613515
0.80000000 -0.52201554 -0.51806788
0.82000000 -0.51004046 -0.50461718
0.84000000 -0.49297014 -0.48640224
0.86000000 -0.47132883 -0.46408163
0.88000000 -0.44567491 -0.43833590
0.90000000 -0.41659031 -0.40985064
0.92000000 -0.38467026 -0.37930075
0.94000000 -0.35051328 -0.34733622
0.96000000 -0.31471175 -0.31456977
0.98000000 -0.27784316 -0.28156666
1.00000000 -0.24046205 -0.24883671
# cost 0.00022047
