# z  linear(z)  quadratic(z)  cos(z)  linear'(z)  quadratic'(z)  -sin(z)  integ_linear(z)  integ_quadratic(z)  sin(z)
0 1 1 1 -0.244835 -0.221074 -0 0 0 0
0.02 0.995103 0.99556 0.9998 -0.244835 -0.222974 -0.0199987 0.019951 0.0199557 0.0199987
0.04 0.990207 0.991081 0.9992 -0.244835 -0.224875 -0.0399893 0.0398041 0.0398221 0.0399893
0.06 0.98531 0.986565 0.998201 -0.244835 -0.226776 -0.059964 0.0595593 0.0595986 0.059964
0.08 0.980413 0.98201 0.996802 -0.244835 -0.228677 -0.0799147 0.0792165 0.0792845 0.0799147
0.1 0.975517 0.977417 0.995004 -0.244835 -0.230578 -0.0998334 0.0987758 0.0988788 0.0998334
0.12 0.97062 0.972787 0.992809 -0.244835 -0.232479 -0.119712 0.118237 0.118381 0.119712
0.14 0.965723 0.968118 0.990216 -0.244835 -0.23438 -0.139543 0.137601 0.13779 0.139543
0.16 0.960826 0.963412 0.987227 -0.244835 -0.236281 -0.159318 0.156866 0.157105 0.159318
0.18 0.95593 0.958667 0.983844 -0.244835 -0.238182 -0.17903 0.176034 0.176326 0.17903
0.2 0.951033 0.953884 0.980067 -0.244835 -0.240083 -0.198669 0.195103 0.195452 0.198669
0.22 0.946136 0.949064 0.975897 -0.244835 -0.241984 -0.21823 0.214075 0.214481 0.21823
0.24 0.94124 0.944205 0.971338 -0.244835 -0.243884 -0.237703 0.232949 0.233414 0.237703
0.26 0.936343 0.939308 0.96639 -0.244835 -0.245785 -0.257081 0.251725 0.252249 0.257081
0.28 0.931446 0.934374 0.961055 -0.244835 -0.247686 -0.276356 0.270402 0.270986 0.276356
0.3 0.92655 0.929401 0.955336 -0.244835 -0.249587 -0.29552 0.288982 0.289624 0.29552
0.32 0.921653 0.92439 0.949235 -0.244835 -0.251488 -0.314567 0.307464 0.308162 0.314567
0.34 0.916756 0.919341 0.942755 -0.244835 -0.253389 -0.333487 0.325849 0.326599 0.333487
0.36 0.911859 0.914255 0.935897 -0.244835 -0.25529 -0.352274 0.344135 0.344935 0.352274
0.38 0.906963 0.90913 0.928665 -0.244835 -0.257191 -0.37092 0.362323 0.363169 0.37092
0.4 0.902066 0.903967 0.921061 -0.244835 -0.259092 -0.389418 0.380413 0.3813 0.389418
0.42 0.897169 0.898766 0.913089 -0.244835 -0.260993 -0.40776 0.398406 0.399328 0.40776
0.44 0.892273 0.893527 0.904752 -0.244835 -0.262893 -0.425939 0.4163 0.417251 0.425939
0.46 0.887376 0.88825 0.896052 -0.244835 -0.264794 -0.443948 0.434096 0.435069 0.443948
0.48 0.882479 0.882935 0.886995 -0.244835 -0.266695 -0.461779 0.451795 0.45278 0.461779
0.5 0.877583 0.877583 0.877583 -0.674561 -0.268596 -0.479426 0.469396 0.470386 0.479426
0.52 0.864091 0.871886 0.867819 -0.674561 -0.301073 -0.49688 0.486812 0.487881 0.49688
0.54 0.8506 0.86554 0.857709 -0.674561 -0.33355 -0.514136 0.503959 0.505257 0.514136
0.56 0.837109 0.858544 0.847255 -0.674561 -0.366028 -0.531186 0.520836 0.522499 0.531186
0.58 0.823618 0.850899 0.836463 -0.674561 -0.398505 -0.548024 0.537444 0.539594 0.548024
0.6 0.810127 0.842604 0.825336 -0.674561 -0.430982 -0.564642 0.553781 0.55653 0.564642
0.62 0.796635 0.833659 0.813878 -0.674561 -0.463459 -0.581035 0.569849 0.573294 0.581035
0.64 0.783144 0.824065 0.802096 -0.674561 -0.495936 -0.597195 0.585647 0.589872 0.597195
0.66 0.769653 0.813822 0.789992 -0.674561 -0.528413 -0.613117 0.601174 0.606252 0.613117
0.68 0.756162 0.802929 0.777573 -0.674561 -0.560891 -0.628793 0.616433 0.622421 0.628793
0.7 0.74267 0.791386 0.764842 -0.674561 -0.593368 -0.644218 0.631421 0.638365 0.644218
0.72 0.729179 0.779194 0.751806 -0.674561 -0.625845 -0.659385 0.646139 0.654072 0.659385
0.74 0.715688 0.766352 0.738469 -0.674561 -0.658322 -0.674288 0.660588 0.669529 0.674288
0.76 0.702197 0.752861 0.724836 -0.674561 -0.690799 -0.688921 0.674767 0.684722 0.688921
0.78 0.688706 0.73872 0.710914 -0.674561 -0.723276 -0.703279 0.688676 0.699639 0.703279
0.8 0.675214 0.72393 0.696707 -0.674561 -0.755753 -0.717356 0.702315 0.714266 0.717356
0.82 0.661723 0.70849 0.682221 -0.674561 -0.788231 -0.731146 0.715685 0.728592 0.731146
0.84 0.648232 0.692401 0.667463 -0.674561 -0.820708 -0.744643 0.728784 0.742602 0.744643
0.86 0.634741 0.675662 0.652437 -0.674561 -0.853185 -0.757843 0.741614 0.756283 0.757843
0.88 0.62125 0.658274 0.637151 -0.674561 -0.885662 -0.770739 0.754174 0.769624 0.770739
0.9 0.607758 0.640236 0.62161 -0.674561 -0.918139 -0.783327 0.766464 0.78261 0.783327
0.92 0.594267 0.621548 0.60582 -0.674561 -0.950616 -0.795602 0.778484 0.795229 0.795602
0.94 0.580776 0.602211 0.589788 -0.674561 -0.983093 -0.807558 0.790235 0.807467 0.807558
0.96 0.567285 0.582224 0.57352 -0.674561 -1.01557 -0.819192 0.801715 0.819313 0.819192
0.98 0.553794 0.561588 0.557023 -0.674561 -1.04805 -0.830497 0.812926 0.830752 0.830497
1 0.540302 0.540302 0.540302 -0.93913 -1.08052 -0.841471 0.823867 0.841772 0.841471
1.02 0.52152 0.518805 0.523366 -0.93913 -1.06921 -0.852108 0.834485 0.852363 0.852108
1.04 0.502737 0.497534 0.50622 -0.93913 -1.0579 -0.862404 0.844728 0.862526 0.862404
1.06 0.483954 0.476489 0.488872 -0.93913 -1.04659 -0.872355 0.854595 0.872266 0.872355
1.08 0.465172 0.45567 0.471328 -0.93913 -1.03528 -0.881958 0.864086 0.881587 0.881958
1.1 0.446389 0.435078 0.453596 -0.93913 -1.02397 -0.891207 0.873201 0.890494 0.891207
1.12 0.427607 0.414711 0.435682 -0.93913 -1.01266 -0.9001 0.881941 0.898991 0.9001
1.14 0.408824 0.394572 0.417595 -0.93913 -1.00134 -0.908633 0.890306 0.907084 0.908633
